dataset,e_ezr,e_lime,e_shap,e_rand,e_best,l_ezr,l_lime,l_shap,l_rand,l_best,k,n_x,e_full,l_full
pom3a,0.0,0.0,0.0,-4.7,ezr lime shap,-5.7,-2.1,-0.4,-1.2,ezr lime shap rand,6,9,64.8,66.0
pom3b,0.0,0.0,0.0,0.0,ezr lime shap rand,-6.4,-1.5,-3.2,-4.6,ezr lime shap rand,7,9,66.9,77.9
pom3c,0.0,0.0,0.0,3.1,rand,0.0,-6.7,0.0,9.1,rand,7,9,44.3,48.8
pom3d,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,-3.6,0.0,-2.1,ezr lime shap rand,7,9,66.7,72.9
redis,0.0,0.0,0.0,3.2,rand,0.0,0.0,0.0,0.0,ezr lime shap rand,7,9,21.2,40.8
rs-6d-c3_obj1,0.0,0.0,0.0,-3.9,ezr lime shap,0.0,0.0,0.0,-0.6,ezr lime shap,4,6,99.5,99.5
rs-6d-c3_obj2,0.0,0.0,0.0,-0.0,ezr,-0.0,0.0,0.0,-0.4,ezr lime shap,4,6,100.0,99.8
socks,0.0,0.0,0.0,-33.9,ezr lime shap,0.0,0.0,0.0,-40.1,ezr lime shap,2,20,100.0,100.0
sol-6d-c2-obj1,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,-0.1,ezr lime shap,5,6,94.0,93.1
storm,0.0,0.0,0.0,0.0,ezr lime shap rand,-0.0,0.0,0.0,0.0,ezr lime shap rand,7,12,100.0,99.9
student_dropout,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,6,33,100.0,100.0
wallpaper,0.0,12.1,0.0,2.4,lime,-3.6,-1.2,0.0,0.0,ezr lime shap rand,2,22,24.8,27.4
wc+rs-3d-c4-obj1,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,3,3,99.2,99.3
wc+sol-3d-c4-obj1,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,3,3,99.6,99.5
wc+wc-3d-c4-obj1,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,3,3,98.8,99.0
wc-6d-c1-obj1,0.0,0.0,0.0,0.0,ezr lime shap,0.0,0.0,0.0,0.0,ezr lime shap,5,6,99.8,99.8
x264,0.0,0.0,0.0,-1.0,ezr lime shap rand,-0.1,-2.5,0.0,-1.2,ezr lime shap rand,8,17,47.8,62.9
xomo_flight,0.0,0.0,0.0,-21.1,ezr lime shap,0.0,-0.0,0.0,-17.5,ezr lime shap,8,24,79.2,92.0
xomo_ground,0.0,0.0,0.0,-13.8,ezr lime shap,-6.3,0.0,-0.4,-26.9,lime shap,8,24,78.7,83.6
xomo_osp,0.0,0.0,0.0,-31.6,lime shap,-2.4,-1.2,-2.7,-28.1,ezr lime shap,8,24,75.2,87.1
xomo_osp2,0.0,0.0,0.0,-5.3,ezr lime shap,-9.5,0.0,0.0,-12.5,lime shap,8,24,62.1,80.7
